English,Danish Word(s),Danish Comments,Finnish Word(s),Finnish Comments,Norwegian Word(s),Norwegian Comments,Swedish Word(s),Swedish Comments
Period ,periode,,"ajanjakso*, ajanjaksolla, ajanjaksot",,"Period*, Periode, Perioder, Periodene",,period*,
Viking ,Viking,,viikinki,,Viking*,,viking*,"(asterisk to also catch ""vikingatiden"" etc.)"
Obsolete,Forældet,,vanhentunut,,"Utdatert, Foreldet",,föråldrad*,
Bygone,Forgangen,,mennyt,,Forgangen,,"förgång*, förgångna, förgången",
"s (e.g., 50s, 1950s)","´erne, tallet","50´erne, 1950´erne, 1900 tallet",-luvulla ,50-luvulla,-tallet,50-tallet,"-tale*, -talet, -talen",
,,,,,,,,
Bigram Phrases (25 rows),,,,,,,Bigram phrases,
years ago,år siden,,vuotta sitten,,år siden,,år sedan,
years since,år siden,,vuosia siitä lähtien,,år siden,,-,same as above - no difference between since/ago in Swedish
long time,for lang tid siden,,kauan,,lang tid siden,,lång tid,
long ago ,længe siden,,kauan sitten,,lenge siden,,länge sedan; länge sen,
bring back ,"få tilbage, give tilbage",,tuoda takaisin,,"få tilbake, gi tilbake",,ta tillbaka,
Worse before,værre tidligere,,huonommin ennen,,verre før,,värre förr; värre tidigare; sämre förr; sämre tidigare,
Better before,bedre før,,paremmin ennen,,bedre før,,"bättre innan, bättre före, bättre förr",
back then,dengang,,"silloin, siihen aikaan",,den gang,,på den tiden,"not sure if it needs to be specifically two words - in that case I would opt for ""den tiden"""
old days,"de gamle dage, i gamle dage",,"vanhat ajat, vanhoina aikoina",,i gamle dager,,"gamla tider, gamla dagar*",
grew up,"voksede op, opvoksede",,"kasvoi, varttui",,vokse opp,,"växte upp, vuxit upp",
my youth ,min ungdom,,nuoruudessani,,min ungdom,,min ungdom,
my childhood,min barndom,,lapsuudessani,,min barndom,,min barndom,
my past,min fortid,,menneisyydessäni,,min fortid,,"mitt förflutna, min tidigare, mitt tidigare",could also be translated to 'min/mitt föredetta' - but that version is probably a bit too broad
Last year,sidste år,,viime vuonna,,i fjor,,"förra året, senaste året",
Last decade,sidste årti,,viime vuosikymmenenä,,siste tiår*,,"förra årtionde*, senaste årtionde*, föregående årtionde*, förra decenni*, senaste decenni*, föregående decenni*",
"last election*, last elections","sidste valg, valg",,"viime vaaleissa, viime vaalit",,forrige valg,,"senaste val*, förra val*, föregående val*",
last governmental period,sidste regeringsperiode,,"viime vaalikausi, viime vaalikaudella",,forrige regjeringsperiode,,"förra mandatperiod*, senaste mandatperiod*, föregående mandatperiod*",
Never before,aldrig før,,ei ikinä aiemmin/aikaisemmin,,aldri før,,"aldrig förr, aldrig tidigare, aldrig förut",
in hindsight,"bagklogskabens lys, når vi ser tilbage",,"jälkikäteen ajateltuna, näin jälkikäteen",,"i ettertid, i etterpå klokskapens lys",,i backspegeln; med facit i hand,"the second one is probably overkill and is included because it is the equivalent version of ""in hindsight"" rather than being backed by the data. ""facit"" specifically is commonly used though, but is too broad to be included as a single word"
before us,før os,,ennen meitä,,før oss,,före oss,
over time,"igennem tiden, over tid",,ajan myötä,,over tid,,över tid,
four years,fire år,,neljä vuotta,,fire år,,fyra år*,
eight years,otte år,,kahdeksan vuotta,,åtte år,,åtta år*,
modern time,moderne tider,,"moderni aika, nykyaika",,moderne tid,,modern tid,
